Date,Open,High,Low,Close,Adj Close,Volume
2010-10-04,1.362,1.411333,1.353333,1.399333,1.399333,965.4
2010-10-05,1.41,1.418667,1.400667,1.408,1.408,498.0
2010-10-06,1.404,1.417333,1.354667,1.364,1.364,470.1
2010-10-07,1.371333,1.376,1.356,1.362,1.362,211.5
2010-10-08,1.362,1.386,1.359333,1.362,1.362,401.7
2010-10-11,1.362667,1.38,1.338,1.349333,1.349333,256.8
2010-10-12,1.346667,1.352,1.335333,1.349333,1.349333,366.0
2010-10-13,1.376,1.39,1.357333,1.369333,1.369333,477.3
2010-10-14,1.4,1.402,1.36,1.383333,1.383333,442.2
2010-10-15,1.392667,1.393333,1.35,1.369333,1.369333,427.05
2010-10-18,1.368,1.376,1.348,1.348667,1.348667,244.2
2010-10-19,1.346667,1.360667,1.333333,1.336667,1.336667,367.8
2010-10-20,1.344,1.379333,1.336,1.376667,1.376667,468.75
2010-10-21,1.374,1.396667,1.363333,1.383333,1.383333,625.65
2010-10-22,1.378667,1.395333,1.37,1.381333,1.381333,241.65
2010-10-25,1.396,1.398667,1.382,1.39,1.39,177.75
2010-10-26,1.386667,1.458,1.367333,1.424,1.424,991.35
2010-10-27,1.416667,1.425333,1.376667,1.4,1.4,534.75
2010-10-28,1.426,1.433333,1.397333,1.412667,1.412667,336.3
2010-10-29,1.409333,1.456667,1.403333,1.456,1.456,420.9
2010-11-01,1.462667,1.516667,1.420667,1.427333,1.427333,683.7
2010-11-02,1.445333,1.458667,1.403333,1.416667,1.416667,483.75
2010-11-03,1.418667,1.5,1.410667,1.451333,1.451333,558.9
2010-11-04,1.506667,1.688667,1.476667,1.66,1.66,2811.0
2010-11-05,1.658,1.664667,1.581333,1.629333,1.629333,1516.5
2010-11-08,1.633333,1.666667,1.602,1.665333,1.665333,764.25
2010-11-09,1.666667,1.712667,1.603333,1.642,1.642,1434.6
2010-11-10,1.632,1.998,1.603333,1.957333,1.957333,4590.75
2010-11-11,1.906667,1.94,1.822,1.869333,1.869333,2917.95
2010-11-12,1.883333,2.033333,1.871333,1.989333,1.989333,4093.65
2010-11-15,2.014667,2.196,2.014667,2.053333,2.053333,3934.35
2010-11-16,2.066667,2.093333,1.894667,1.978,1.978,2021.4
2010-11-17,2.013333,2.05,1.907333,1.966,1.966,1125.0
2010-11-18,2.044667,2.049333,1.928,1.992667,1.992667,1434.15
2010-11-19,2.010667,2.091333,1.98,2.066,2.066,1725.75
2010-11-22,2.104667,2.23,2.1,2.226667,2.226667,2294.55
2010-11-23,2.219333,2.378667,2.146,2.304667,2.304667,2366.7
2010-11-24,2.351333,2.398,2.288667,2.364667,2.364667,2137.5
2010-11-26,2.373333,2.4,2.316667,2.354667,2.354667,525.9
2010-11-29,2.360667,2.396667,2.222,2.288667,2.288667,1718.4
2010-11-30,2.249333,2.355333,2.227333,2.355333,2.355333,3333.9
2010-12-01,2.391333,2.428,2.23,2.29,2.29,1948.8
2010-12-02,2.267333,2.286667,2.08,2.156667,2.156667,3010.5
2010-12-03,2.134,2.15,2.058,2.099333,2.099333,1740.15
2010-12-06,2.09,2.096667,1.970667,2.020667,2.020667,1911.6
2010-12-07,2.032667,2.16,2.003333,2.104,2.104,1966.95
2010-12-08,2.165333,2.166,2.101333,2.158,2.158,990.0
2010-12-09,2.167333,2.181333,2.11,2.136667,2.136667,609.0
2010-12-10,2.136667,2.194667,2.075333,2.101333,2.101333,644.1
2010-12-13,2.109333,2.118,2.026667,2.036667,2.036667,615.6
2010-12-14,2.019333,2.026,1.850667,1.902,1.902,2648.55
2010-12-15,1.911333,1.998,1.902,1.973333,1.973333,1114.35
2010-12-16,2.0,2.060667,1.976667,2.054,2.054,1185.15
2010-12-17,2.089333,2.102667,2.047333,2.090667,2.090667,1219.5
2010-12-20,2.109333,2.146,2.084,2.113333,2.113333,785.1
2010-12-21,2.12,2.179333,2.114,2.150667,2.150667,1166.55
2010-12-22,2.15,2.190667,2.113333,2.175333,2.175333,1249.95
2010-12-23,2.084,2.165333,1.994667,2.006,2.006,2328.9
2010-12-27,1.868,1.905333,1.670667,1.703333,1.703333,13952.85
2010-12-28,1.723333,1.783333,1.666667,1.760667,1.760667,6084.45
2010-12-29,1.802,1.867333,1.766667,1.848667,1.848667,4978.8
2010-12-30,1.846667,1.86,1.758667,1.766667,1.766667,3061.65
2010-12-31,1.771333,1.816667,1.766667,1.775333,1.775333,2126.85
2011-01-03,1.789333,1.8,1.726667,1.774667,1.774667,1924.5
2011-01-04,1.777333,1.796667,1.734667,1.778,1.778,1781.1
2011-01-05,1.765333,1.793333,1.746,1.788667,1.788667,2170.05
2011-01-06,1.788667,1.866667,1.787333,1.858667,1.858667,3091.8
2011-01-07,1.866667,1.905333,1.86,1.882667,1.882667,3371.85
2011-01-10,1.878,1.912,1.87,1.896667,1.896667,2014.05
2011-01-11,1.906,1.914,1.794667,1.797333,1.797333,2565.3
2011-01-12,1.800667,1.826667,1.768,1.797333,1.797333,1446.6
2011-01-13,1.797333,1.798,1.744,1.748,1.748,1085.4
2011-01-14,1.743333,1.772,1.707333,1.716667,1.716667,1788.0
2011-01-18,1.698667,1.709333,1.65,1.709333,1.709333,2432.55
2011-01-19,1.684667,1.698,1.583333,1.602,1.602,3557.25
2011-01-20,1.602,1.63,1.491333,1.508,1.508,3419.85
2011-01-21,1.541333,1.572667,1.514,1.536,1.536,1825.5
2011-01-24,1.568667,1.654,1.548667,1.632667,1.632667,2467.65
2011-01-25,1.643333,1.659333,1.601333,1.645333,1.645333,1907.25
2011-01-26,1.647333,1.658667,1.606667,1.65,1.65,1619.85
